root_cause_id,domain,risk_level,expected_condition,root_cause_name
PERF-SQL-CN-001-RC12,PERF,medium,any(pct_of_total > 60),Third-party library or middleware maintaining its own connection pools that consume all available co
PERF-SQL-CN-002-RC04,PERF,medium,row_count > 0 AND any(session_count > 5),Event listeners or callbacks maintaining references to connections without cleanup
PERF-SQL-CN-002-RC05,PERF,medium,any(session_count > 20),Recursive functions or loops acquiring new connections without closing in all code paths
PERF-SQL-CN-002-RC09,PERF,medium,current_pct > 60,Connection pooling configuration with missing or insufficient idle connection timeout settings
PERF-SQL-CN-002-RC10,PERF,medium,leak_pct > 30,Application setting Connection object reference to null without calling close first
PERF-SQL-CN-003-RC01,PERF,medium,logons_cumulative / user_commits > 0.5,"Application not implementing connection pooling, creating new connections for each request"
PERF-SQL-CN-003-RC02,PERF,medium,logons_cumulative > 10000,"Connection pool with very short `maxLifetime` or `idleTimeout`, forcing frequent replacement"
PERF-SQL-CN-003-RC04,PERF,medium,logons_per_minute > 10,"Serverless or containerized environments (Lambda, Cloud Functions) creating new connection per invoc"
PERF-SQL-CN-003-RC06,PERF,medium,utilization_pct > 70,Each backend instance maintaining its own small connection pool when multiple instances exist
PERF-SQL-CN-003-RC08,PERF,medium,logons_per_hour > user_sessions * 2,"Connection health checks running too frequently, causing disconnects and reconnects"
PERF-SQL-CN-003-RC12,PERF,medium,logon_per_call_ratio > 0.1,Application opening connections just-in-time and closing immediately after one query
PERF-SQL-CN-003-RC13,PERF,medium,hard_parse_pct > 20,"Prepared statement caching disabled, requiring new parse/bind/execute cycles per connection"
PERF-SQL-CN-003-RC14,PERF,medium,row_count > 0 with many short-lived idle sessions from same application,ORM lazy-loading queries acquiring temporary connections instead of reusing transaction context
PERF-SQL-CN-004-RC01,PERF,medium,current_utilization > limit_value * 85 / 100,Application's cumulative demand (pool size × number of instances) exceeds database max_connections s
PERF-SQL-CN-004-RC02,PERF,medium,row_count > 0 with spikes in connection creation,"Cascading connection attempts after initial pool exhaustion, creating ""connection storms"""
PERF-SQL-CN-004-RC03,PERF,medium,total_user_sessions / session_limit > 0.7,"Multiple application services or microservices each maintaining their own pools, multiplying demand"
PERF-SQL-CN-004-RC04,PERF,medium,spfile_value > running_value,"Database not restarted after increasing max_connections parameter, so old limit still applies"
PERF-SQL-CN-004-RC05,PERF,medium,non-APPLICATION sessions consume > 20 of total,"Administrative connections (backup processes, monitoring tools, DBA sessions) consuming slots needed"
PERF-SQL-CN-004-RC06,PERF,medium,row_count > 0 with significant Data Guard process count,Replication slaves or standby databases holding connection slots that should not count against limit
PERF-SQL-CN-004-RC07,PERF,medium,row_count > 0 with very old sessions from machines that may be decommissioned,Connections from previous application instances not cleaned up after deployment/rollback
PERF-SQL-CN-004-RC08,PERF,medium,connections from machines or service names associated with test/dev environments,Test or development environments using same database and connection pool credentials
PERF-SQL-CN-004-RC10,PERF,medium,single machine/program combination has disproportionately many connections,Client-side driver connection pooling creating separate pools per thread instead of sharing
PERF-SQL-CN-004-RC11,PERF,medium,processes_limit > physical_memory_mb / 5 OR processes_limit > num_cpus * 50,Database configuration allowing unlimited connections while physical resources cannot support them
PERF-SQL-CN-004-RC13,PERF,medium,FREE_MEMORY_BYTES / PHYSICAL_MEMORY_BYTES < 0.05,Memory constraints preventing database from allocating resources for new connections
PERF-SQL-CN-004-RC14,PERF,medium,row_count > 0 with timeout errors from specific sources,"Firewall or network ACL changes silently blocking some connections without error, forcing new attemp"
PERF-SQL-CPU-001-RC02,PERF,medium,row_count > 0 with high exec_per_sec and significant total CPU,Frequent execution of expensive queries
PERF-SQL-CPU-001-RC03,PERF,medium,row_count > 0 with very high gets_per_exec,Excessive logical reads (full table scans)
PERF-SQL-CPU-001-RC04,PERF,medium,row_count > 0 with filter_predicates present (columns that should be indexed),Missing indexes on frequently queried columns
PERF-SQL-CPU-001-RC06,PERF,medium,is_bind_sensitive = 'Y',Parameter sniffing causing plan regression
PERF-SQL-CPU-001-RC10,PERF,medium,value > 1000000,Scalar and multi-statement table-valued functions in queries
PERF-SQL-CPU-001-RC13,PERF,medium,value > 10,Deadlock detection overhead in high-concurrency scenarios
PERF-SQL-CPU-001-RC14,PERF,medium,cache_hit_percentage < 90 OR over_allocation_count > 0,Memory spilling to disk (sort/hash spill)
PERF-SQL-CPU-001-RC15,PERF,medium,FREE_MEMORY_BYTES / PHYSICAL_MEMORY_BYTES < 0.05,Insufficient memory causing page faults and swapping
PERF-SQL-CPU-001-RC16,PERF,medium,chain_pct > 5,Heavily fragmented indexes and tables
PERF-SQL-CPU-001-RC17,PERF,medium,bloat_pct > 50,Table and index bloat from dead tuples
PERF-SQL-CPU-001-RC19,PERF,medium,total_waits > 100000,High transaction volume with inefficient transaction handling
PERF-SQL-CPU-001-RC22,PERF,medium,BUSY_TIME / (BUSY_TIME + IDLE_TIME) > 0.85,Inadequate CPU resources relative to workload
PERF-SQL-CPU-002-RC01,PERF,medium,hard_parse_pct > 30,Non-parameterized ad-hoc queries
PERF-SQL-CPU-002-RC02,PERF,medium,total_shared_mb > 50,Dynamic SQL with concatenated variable values
PERF-SQL-CPU-002-RC07,PERF,medium,any_value is_bind_sensitive = 'Y',Stored procedure recompilation due to parameter sniffing
PERF-SQL-CPU-002-RC12,PERF,medium,any_value hit_ratio_pct < 95 OR any_value reloads > 1000,Plan cache pressure and plan aging
PERF-SQL-CPU-003-RC04,PERF,medium,parallel_min_time_threshold < 10 OR parallel_degree_policy = 'AUTO',Parallel query cost threshold set too low
PERF-SQL-CPU-003-RC05,PERF,medium,parallel_max_servers > cpu_count * 2,MAXDOP (Max Degree of Parallelism) too high
PERF-SQL-CPU-003-RC06,PERF,medium,cpu_count value seems high relative to expected physical cores,Hyper-threading causing inefficient thread scheduling
PERF-SQL-CPU-003-RC07,PERF,medium,over_allocation_count > 0 OR cache_hit_percentage < 85,Memory contention under parallel execution
PERF-SQL-CPU-003-RC08,PERF,medium,miss_ratio > 1,Buffer pool latch contention from many parallel threads
PERF-SQL-CPU-003-RC09,PERF,medium,total_waits > 1000,Parallel sort exceeding available work memory
PERF-SQL-CPU-003-RC10,PERF,medium,partition_start = '1' AND partition_stop indicates all partitions,Inefficient partition elimination in parallel scans
PERF-SQL-CPU-003-RC11,PERF,medium,"max_wait_micro / NULLIF(min_wait_micro, 0) > 10",Parallel hash join with skewed join key distribution
